# Acquisition Start Time: 2025-07-12 15:19:11.137768
# Total data points: 14865
# Data source: 完整数据（临时文件）
# Memory optimized: True
# Data format: Doctor mode (original values only)

time(s),传感器 1,传感器 2,传感器 3,传感器 4,传感器 5,传感器 6,传感器 7,传感器 8,传感器 9,传感器 10
0.021190881729125977,2697.781990521327,2758.7488151658767,3338.8862559241707,3376.990521327014,3413.1895734597156,3483.682464454976,2855.9146919431278,2996.900473933649,2216.7156398104266,2239.5781990521327
0.03368997573852539,2973.8322185693232,3041.0971545176285,3682.925858746174,3725.8468427615917,3765.785398480898,3840.038884480218,3145.6594490420584,3302.9704115179684,2441.3090352567738,2467.413785285115
0.04369544982910156,2964.511850596247,3031.56463556071,3671.066333600975,3717.2562464686116,3750.747678948464,3830.11324828263,3139.0167068129776,3296.3189579801947,2434.761072947334,2461.817355101555
0.04620051383972168,2936.433186750958,3002.8167266037026,3635.7680842039963,3681.2988447679727,3714.9707320855623,3794.1939387032685,3109.7480048074945,3262.795871804843,2411.021939187308,2438.1534157061274
0.049201011657714844,2909.4942177384596,2975.252683631717,3602.1469017735208,3647.032512788084,3679.542974597034,3754.357823495215,3081.363091568554,3233.0220085292062,2389.251829391231,2414.948856875371
0.059709787368774414,2885.8170966034418,2951.0328399925265,3572.692433152059,3618.2151820199447,3650.1806009270204,3728.488892697076,3057.5050422954037,3206.7905964249576,2369.4077961195594,2395.4615567670153
0.07271456718444824,2866.2158397821977,2930.985547820158,3547.7676409504957,3592.8700513707736,3625.204569322212,3702.3250000659264,3035.5751800138514,3185.6316726905607,2353.6947196233323,2379.2982112957925
0.07321548461914062,2851.3377231718523,2915.189807175766,3529.573795892856,3572.5429908360265,3606.9041825651298,3679.6290706919617,3019.6476976865297,3168.854779939031,2339.9736963003293,2367.0133337080283
0.08623003959655762,2841.172689120643,2905.045160315711,3517.1582036307564,3561.14661814256,3593.7984331808957,3668.550388060813,3008.7765832124096,3157.3825615538913,2332.5086137989656,2358.032059617199
0.09122991561889648,2834.4320036776544,2898.9173859208267,3510.218891161166,3553.1092552042915,3586.43715322171,3660.76890603219,3002.1928836404777,3149.843214955032,2327.451296513528,2352.602064869104
0.10173535346984863,2829.7276806556747,2893.420865589543,3505.4745438375503,3547.140734906867,3581.470003142186,3655.556395266384,2996.4474850744414,3143.561190044006,2323.0801955644215,2348.6210053767572
0.10874748229980469,2826.4374652950814,2891.9668389882427,3502.79764654851,3543.8105958820047,3580.434632844695,3652.6652054849274,2993.726627486393,3142.903382699651,2322.749065706577,2345.657786207462
0.12475252151489258,2827.477817636226,2892.9274956368045,3504.8063191075644,3544.9628801226104,3580.5248691939296,3651.141647999562,2994.574997931371,3143.262015489145,2323.649951472931,2347.368989078643
0.12525653839111328,2826.327494066984,2892.2293466958436,3503.6242439394828,3545.121844064177,3578.75868861467,3652.0369332194437,2993.323727586301,3141.6630445347587,2321.6218968374556,2345.3677073842086
0.1357574462890625,2825.402199247747,2892.6712428327646,3505.5153034500045,3546.730923138048,3580.3757244253316,3656.492015788111,2995.2473170980425,3145.104680868672,2321.794892100414,2347.9167601031204
0.13825607299804688,2828.603420376085,2894.2868370400647,3504.5108733326583,3546.1413815341216,3581.5968889967835,3656.9848191886467,2996.046047633076,3146.2003756194213,2323.271649874403,2349.0472451655446
0.152846097946167,2830.6515470516624,2895.3202763413647,3506.294723284336,3548.176150894701,3582.4002482779124,3657.773965906395,2997.7352004543263,3147.983111344777,2324.249637483878,2350.297979965262
0.15334606170654297,2831.7925564857987,2895.8958655946985,3505.6631451272133,3548.8310398726776,3582.8623476538764,3660.4658250655225,2998.707587254209,3147.787801342538,2325.3944707459723,2351.5479481984767
0.16385149955749512,2832.316523587214,2896.1600789218,3505.2604937976985,3548.563893787729,3583.0855672536263,3654.979012285713,2999.177869519491,3142.918566826128,2323.6893014816465,2349.277480342477
0.17436003684997559,2831.3163008419833,2894.504277889639,3505.6152511039886,3549.4916285703116,3583.162162134062,3659.157289124808,2999.339734650463,3144.684549829324,2325.5136077835787,2349.5862371443795
0.17685842514038086,2830.045845085466,2892.9186428006524,3504.6876815312025,3547.6749162000747,3583.161168014133,3659.39674473578,2997.603855430585,3143.592635628977,2323.119756946598,2348.067092047108
0.1873645782470703,2831.0294502173383,2894.373538036015,3505.311377059693,3548.876991666902,3583.127645501173,3658.838146253809,2998.2764990901755,3145.322777895173,2325.1432431338176,2349.51954676285
0.19786286354064941,2831.643751326588,2895.3213841400425,3506.8721932463664,3549.036644885236,3583.0872855492207,3656.695952767314,2998.130743268043,3147.5534258143616,2324.0657488582674,2349.858245273681
0.20086312294006348,2831.9760791722583,2895.8606377439023,3505.4497889516338,3549.0964713443004,3583.0523308130096,3651.975110912135,2998.620527542842,3147.057206212685,2325.704799268103,2350.030248239742
0.21152448654174805,2832.1211920325836,2896.1167577832466,3506.286323169903,3550.258152723015,3583.026835914299,3649.3724491819776,2998.3269668198827,3148.943234428433,2325.5060387257568,2350.674727066757
0.22202825546264648,2831.579390239454,2896.200826046567,3506.785818822317,3550.3224762403042,3580.698054296285,3647.619832669668,2996.4015789790483,3146.487179289646,2327.6307635289177,2348.700909687694
0.2240285873413086,2831.8099441183867,2896.195043362983,3505.8842765166346,3550.2833774575965,3581.67934979527,3652.161694937603,2997.0358208654147,3146.6745707916984,2328.230230269565,2349.831367992024
0.23503923416137695,2830.211859211134,2894.4181573017263,3504.7441869444706,3548.474292893923,3582.364585463129,3655.0715412557156,2998.079555620492,3146.820467487421,2327.2795829804795,2349.970178880096
