# Acquisition Start Time: 2025-07-12 15:19:11.160
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
41.69087,开始训练,阶段1,3014.874764468313,2854.80621706945,3479.764916841455,3551.441394183818,3583.001648666317,3648.0464677678247,2933.6729013578843,3121.614652695516,2347.919920010001,2374.9998051062034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
49.377283,完成阶段,阶段1,2919.714389847814,2811.7459959008766,3534.642807768357,3604.4412677258933,3646.3841835789644,3695.1089724597614,2960.058582941598,3131.387532141866,2285.401126132406,2325.5461804670767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
55.132937,开始矫正,阶段2,2923.8630344401536,2809.8303892165677,3532.5521631904003,3596.542033770842,3632.508638664879,3684.1168589105228,2955.2453159821507,3124.173869572446,2281.2296676243263,2321.2947977941767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
62.428813,矫正完成,阶段2,3025.2886132186554,2788.9679590583637,3609.3736126505983,3562.109956617466,3663.314386967998,3661.524743146308,2918.3285489005243,3124.067269312485,2302.5214181394763,2302.671543967038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
69.501313,开始沉髋,阶段3,3017.7201803625703,2784.6712975787755,3603.370716378509,3558.8657197999305,3665.1397658213355,3663.3236131647077,2918.0191281069215,3124.859177777963,2297.4179971304616,2300.4327699038563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
74.499629,沉髋完成,阶段3,3026.413942497553,2785.860361995116,3582.6085256291794,3561.7965968323433,3609.2536773648535,3667.2747087339717,2915.484431268261,3131.462780429565,2290.8456607263315,2318.1048985482144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1
77.50854,开始沉肩,阶段3,3018.5862869865155,2777.7817850965475,3576.1866697400824,3556.2065047932256,3608.542352420373,3663.7956884540777,2914.4850532000023,3127.34224907454,2290.2372664228496,2315.2207862663245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
82.983127,沉肩完成,阶段3,3041.7779240151344,2785.3181356469254,3551.5206419740575,3559.3678619045936,3606.1738946097453,3664.3117226653267,2943.312254371395,3151.9867511901025,2288.0141500425475,2319.88197376973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1
