# Acquisition Start Time: 2025-08-13 15:41:54.920386
# Total data points: 8539
# Data source: 完整数据（临时文件）
# Memory optimized: True
# Data format: Doctor mode (original values only)

time(s),传感器 1,传感器 2,传感器 3,传感器 4,传感器 5,传感器 6,传感器 7,传感器 8,传感器 9,传感器 10
0.014509916305541992,1471.0,2040.0,1103.0,1814.0,1525.0,1651.0,1040.0,1899.0,1318.0,209.0
0.030042648315429688,1471.0,2034.0,1099.0,1814.0,1521.0,1648.0,1040.0,1902.0,1323.0,206.0
0.03104376792907715,1471.0,2032.0,1099.0,1814.0,1522.0,1648.0,1042.0,1899.0,1319.0,208.0
0.04935336112976074,1471.0,2036.0,1095.0,1809.0,1523.0,1648.0,1042.0,1900.0,1321.0,208.0
0.05035281181335449,1471.0,2038.0,1101.0,1814.0,1523.0,1649.0,1042.0,1902.0,1323.0,209.0
0.05035281181335449,1469.0,2034.0,1099.0,1812.0,1522.0,1648.0,1041.0,1901.0,1321.0,208.0
0.06186389923095703,1470.0,2033.0,1099.0,1815.0,1521.0,1648.0,1041.0,1899.0,1318.0,208.0
0.08064079284667969,1472.0,2036.0,1099.0,1813.0,1522.0,1648.0,1042.0,1903.0,1322.0,208.0
0.08064079284667969,1472.0,2037.0,1099.0,1818.0,1523.0,1650.0,1043.0,1899.0,1318.0,214.0
0.0826406478881836,1469.0,2035.0,1098.0,1814.0,1526.0,1650.0,1043.0,1903.0,1321.0,207.0
0.09314084053039551,1469.0,2038.0,1099.0,1814.0,1522.0,1650.0,1041.0,1902.0,1322.0,209.0
0.10891246795654297,1469.0,2039.0,1099.0,1815.0,1525.0,1649.0,1046.0,1903.0,1322.0,208.0
0.10891246795654297,1467.0,2036.0,1099.0,1813.0,1522.0,1648.0,1040.0,1899.0,1322.0,208.0
0.12366819381713867,1472.0,2037.0,1101.0,1813.0,1522.0,1649.0,1041.0,1902.0,1322.0,208.0
0.12445425987243652,1470.0,2034.0,1098.0,1812.0,1525.0,1649.0,1043.0,1900.0,1319.0,208.0
0.13949251174926758,1471.193470627627,2042.3239342268298,1104.6498159795235,1814.752645101225,1525.7974834132247,1651.379205545527,1039.378025797001,1897.6994695705193,1316.091667787859,209.32463395663947
0.14020180702209473,1471.1700324524672,2042.3241770521815,1104.5170650151153,1814.8766823780695,1525.7705034252406,1651.114959398056,1039.8186453346664,1897.717267724489,1315.9672034692778,209.35728006244616
0.15450072288513184,1471.1467590162677,2041.6682172936341,1104.1627716998225,1814.7115174374696,1525.743141738938,1651.208188967362,1039.4716749783163,1898.0276379533002,1316.4226276852617,209.24504740077916
0.15450072288513184,1470.9783022480772,2041.6548909591738,1104.237728618104,1814.6915674081197,1525.5724430315558,1651.1543937646513,1039.6323882126019,1898.1980933428074,1316.6638300049203,209.20398788018974
0.17003536224365234,1471.16943175814,2041.4213815487005,1103.8060974836249,1814.38287727047,1525.5473292353804,1651.0264805281668,1039.647966969088,1898.1552735272303,1316.8355236821044,209.16149572512452
0.1710362434387207,1470.9269412811923,2040.8254801114786,1103.5164069470216,1814.2880639399298,1525.0883211399805,1650.8950673191168,1039.8067525873455,1898.255394421607,1316.9345928623634,209.11774251185454
0.19006991386413574,1471.0442711780734,2040.8046862160043,1103.4398104679656,1814.4802415839213,1525.3481003192935,1650.830804328236,1040.03798456243,1898.713815871031,1317.4648565439286,209.07292029567438
0.1910698413848877,1470.9441562034963,2040.4962403755771,1103.1451390245345,1814.3870521320284,1525.101718346632,1650.9067028555169,1040.2732422479469,1898.7389780737003,1317.6344994487918,209.02724593459914
0.21598410606384277,1470.9881524302969,2040.264926273231,1102.9217946089896,1814.2998896507368,1525.1451199385158,1650.6911925752408,1040.0076055049806,1899.0532543487698,1317.949694852934,208.98095544786804
0.2179877758026123,1470.8876435609384,2039.7503082709645,1102.5522318570495,1814.0008264975834,1524.8285006546976,1650.6165047819773,1040.3204841993302,1899.1515163292067,1318.1937577518875,208.93426933636061
0.2179877758026123,1470.931360330496,2039.3829217416355,1102.469054080619,1813.992428907965,1524.7272640602052,1650.6102527361827,1040.418242413924,1899.103722417623,1318.0749752257914,208.96011414251325
0.21898722648620605,1470.9033885716437,2039.015876882447,1102.3866205988174,1813.913434193448,1524.5507311637027,1650.4568607075937,1040.5188072005544,1899.3389768474906,1318.7451380025432,208.84268674782047
0.2320082187652588,1470.876521570463,2038.7204912142552,1102.0192908014124,1813.9094770528857,1524.6606813162873,1650.372636176531,1041.131067871238,1899.5681440144722,1318.8352095292903,208.7980487239145
0.2340085506439209,1470.8508312830775,2038.497588496591,1101.7996615611166,1813.7646989453344,1524.4096457112273,1650.4307103387596,1040.597492262248,1899.8658815675087,1319.067446395257,208.75356171422644
0.2471466064453125,1470.7536648993275,2038.4957526385606,1101.7284066871869,1813.840583015366,1524.5936374258365,1650.4178499031216,1040.7155540146762,1899.8726953641678,1319.0774675493715,208.78208831054823
0.26187777519226074,1470.7283187482208,2037.9974353430794,1101.3015206298871,1813.632508847438,1524.2765168201836,1650.11850181646,1041.0482459263405,1900.0928941314692,1319.5125080768491,208.66779638255142
0.2632265090942383,1470.774895272105,2037.5783785355418,1101.094667762607,1813.4268662977875,1524.0337128012854,1650.0353472354982,1040.947259382273,1900.1647385715216,1319.5059618167058,208.62672967100585
0.2784616947174072,1470.6047961886984,2037.380106558477,1100.962915224937,1813.3645602138395,1523.9336914187456,1650.095969096993,1041.205434065553,1900.3766464298833,1319.9961929104545,208.58622912526434
0.28046226501464844,1470.577240880531,2037.332821673424,1100.7636210103421,1813.2273913922872,1523.9040375406873,1649.9415489375297,1041.099394163908,1900.4396592189776,1319.9007826877441,208.5463754398437
0.28896474838256836,1470.6923255765803,2036.7893292415686,1100.3517943575978,1813.376889032618,1523.8746363595578,1649.9338071985615,1041.4220159862184,1900.7149502899338,1320.2286603043567,208.50724171222276
0.29090023040771484,1470.5910287373558,2036.8322392499738,1100.3757281658081,1813.456356576812,1523.848095747328,1649.7115301964218,1041.4523552520693,1900.6248668220794,1320.1839171573542,208.61439859662067
0.30826354026794434,1470.634907985418,2036.5255716148517,1100.0425384819684,1813.3978221688337,1523.5359922597934,1649.6340498915201,1041.5515778748284,1900.671501366151,1320.19595569254,208.43602114694895
0.3092637062072754,1470.3898843529162,2036.158491061922,1099.93003773003,1813.1286895715532,1523.5136556714847,1649.5560620508231,1041.5012276172197,1900.7796317396164,1320.5511198362442,208.40403438973777
0.3242952823638916,1470.5766578744858,2036.3087633371083,1099.9681899214168,1813.2968948722043,1523.4926373049407,1649.5505205876636,1041.5875391211032,1900.8036703294429,1320.8199207827781,208.37296968038163
0.3242952823638916,1470.6202884966076,2035.9696811101223,1099.6550366654294,1813.4001579681917,1523.4027094595667,1649.4744341805215,1041.6649315084098,1901.1050374076794,1320.7888804069557,208.3428615670663
0.3403301239013672,1470.618142265752,2035.3610227589909,1099.2003307264063,1813.405087377536,1522.8752800785235,1648.643097067118,1042.1457489670136,1901.288231855855,1321.0483081381697,207.9717185032933
0.34133005142211914,1470.1843017886474,2034.27607079832,1098.640071839006,1812.9438000367911,1522.8950705150448,1648.7625225310624,1041.8533474605028,1900.494092685462,1320.3350010147012,208.10157290564774
0.3563663959503174,1469.914422887392,2035.2791324793843,1098.5418181268367,1812.2564152060531,1522.9274732297313,1648.8209922545086,1041.9401585051694,1900.7503210076911,1320.8868656868228,208.16334940280842
0.35787415504455566,1470.0474627604005,2035.6624923018796,1099.2934247511153,1812.7841980281264,1522.9921230313391,1648.6429993288082,1041.7552169655278,1900.711789749521,1320.6817499479582,208.30639545113345
0.3716275691986084,1470.0695476015624,2034.7769456682877,1098.8678602146842,1812.8113064900372,1522.607979806362,1648.6596968751144,1041.8233070648048,1900.8373497288685,1320.6984378216757,208.1408188183673
0.37372779846191406,1470.0301823750224,2034.9866308101152,1099.0438186290903,1813.55989971812,1522.8379996611616,1648.566506673629,1041.9888266325943,1900.9276896830859,1320.4168682412114,208.12944239995716
0.3873732089996338,1470.279703295877,2035.4088199054574,1098.7795575796538,1813.0653305339545,1522.756998524862,1648.8796375773745,1042.3689909554228,1901.2836092215937,1321.0070540000183,208.11743765755628
0.3873732089996338,1470.486450635602,2035.541002432857,1098.9018802719731,1813.9399542395447,1522.991794414736,1648.8949077338186,1041.9985358125905,1900.870782146308,1320.483877820821,209.03440040934865
0.4023902416229248,1469.8914365122894,2034.9645144860926,1098.6065261702834,1813.1428173684901,1523.1207928924744,1649.0217164455025,1042.3344162511116,1901.2582090929711,1320.7248231621156,208.16735366000924
