# Acquisition Start Time: 2025-07-26 02:16:47.301
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
108.409032,开始训练,阶段1,106.66463255882263,1404.852238938077,1233.2751827035602,1056.9311653511531,2082.4373429451366,1601.286132549415,1639.1445388889954,1066.1746657820538,1056.1965440741426,665.5633527759882,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
112.059331,完成阶段,阶段1,110.33555912971497,1407.4875070716027,1232.410664601699,1012.523625155384,2250.006474123923,2545.204801212039,1618.3811451719669,1071.6580009556187,1054.6129266542332,645.2674867070917,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
168.932935,开始矫正,阶段2,167.1915328502655,1471.4286176214378,2383.9692714009157,1042.5173016133358,1763.69978294149,1519.2828669996643,1618.385617799199,1066.9474028578827,2259.158408344056,655.9956779343842,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
183.806099,矫正完成,阶段2,182.0592815876007,2515.079167040078,2326.125458954261,1070.48195989038,2297.530511529424,1553.5958280237285,1641.0626275640514,977.967628034996,2208.312276075532,1063.9795764087776,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
222.894719,开始沉髋,阶段3,221.14632201194763,1465.5445134708746,2216.6776179662347,1047.501013757877,1674.304093578677,1520.7660660365393,1581.2177138083634,1070.6697077506885,2072.7471750112986,607.8697223151303,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
238.90973,沉髋完成,阶段3,237.13874340057373,1449.966097748805,2808.152498939268,1051.1468085643467,1750.6454757659783,1518.8882145042792,1599.6120296927995,1049.8986813445033,1461.6902228259862,641.361754580638,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
255.290316,开始沉肩,阶段3,253.5244915485382,1451.9766984841303,1761.9275273033152,1048.8563503255803,1724.6741051972826,1516.2244580603785,1603.8035435196914,1054.9351009436368,1555.9331157392712,652.6317079318956,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
263.578474,沉肩完成,阶段3,261.8181290626526,1445.668406390932,2340.0348305220054,1046.6033069192604,1725.9661074471169,1514.2395665915058,1601.5128555433384,1046.4801424297498,1456.067122254348,649.2886985544956,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
