# Acquisition Start Time: 2025-08-12 23:11:21.207
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,event_code,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
6.09427,开始训练,training_start,阶段1,1534.9999999391891,1803.787984635899,1063.0286713561866,1884.470882338862,1504.1316851046079,1673.5701858096756,1127.9422928726287,1694.5547599693625,1365.264031824122,212.1003175805274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8.326378,完成阶段,stage_complete,阶段1,2659.6820137088403,1767.6687382247717,1065.2345253943306,1906.113152298272,1513.4321941256162,1692.5957190749393,1046.8528940037718,1653.5407299186109,1391.3684225834893,212.39717295693555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
16.489175,开始矫正,correction_start,阶段2,1590.1738883871187,1786.862953077258,1063.4703784074554,1892.6526011394485,1514.2761674481242,1679.5884532378432,1049.3423920525302,1674.8461704077595,1372.2060012783659,215.09081269902651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
18.732304,矫正完成,correction_complete,阶段2,2673.4497156085554,1762.0660158896083,1061.7720405558664,1891.5108353980706,1511.9354848289688,1676.883378068063,1024.145515402901,1648.3604355611171,1367.3401613631636,211.6775277706797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
25.592297,开始沉髋,hip_start,阶段3,1575.9654736766022,1791.8662936692012,1061.1298980178792,1882.5198048326995,1509.482197770647,1666.7126826087156,1049.7433589676032,1679.8725276774107,1353.202724220265,215.14804542471123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
27.305973,沉髋完成,hip_complete,阶段3,2645.5872695013363,1788.4918421312127,1058.0031739863962,1879.4603853835595,1508.6832425208836,1665.2238376518173,1006.3126816831864,1676.901354260479,1350.236217288471,211.83725227241484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
35.462775,开始沉肩,shoulder_start,阶段4,1639.5948845234639,1788.384190119206,1061.7288993982659,1879.9144667466542,1512.820863810025,1664.845563455909,1088.8706817894713,1677.2164724801437,1351.403724975794,214.95070749895498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
37.04019,沉肩完成,shoulder_complete,阶段4,2704.9524073074685,1788.0995774670105,1058.748255775677,1879.869292488588,1510.1806071555993,1663.1557318017258,1000.6712592588705,1675.8737932787985,1349.0037273377573,212.01512559962862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
